Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA TIMUR,SIDOARJO,LELE,2020,"20,980,645 "," Rp335,690,320,000 "
KOLAM AIR TENANG,JAWA TIMUR,SITUBONDO,LELE,2020,"210,090 "," Rp3,403,870,000 "
KOLAM AIR TENANG,JAWA TIMUR,SUMENEP,LELE,2020,"215,706 "," Rp3,667,002,000 "
KOLAM AIR TENANG,JAWA TIMUR,TRENGGALEK,LELE,2020,"3,538,522 "," Rp54,847,091,000 "
KOLAM AIR TENANG,JAWA TIMUR,TUBAN,LELE,2020,"6,240,277 "," Rp106,084,709,000 "
KOLAM AIR TENANG,JAWA TIMUR,TULUNGAGUNG,LELE,2020,"11,581,154 "," Rp178,173,090,700 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG,LELE,2021,"6,787,465 "," Rp108,599,440,000 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG BARAT,LELE,2021,"1,977,990 "," Rp31,647,840,000 "
KOLAM AIR TENANG,JAWA BARAT,BEKASI,LELE,2021,"2,503,797 "," Rp47,572,143,000 "
KOLAM AIR TENANG,JAWA BARAT,BOGOR,LELE,2021,"91,357,630 "," Rp1,644,437,340,000 "
KOLAM AIR TENANG,JAWA BARAT,CIAMIS,LELE,2021,"4,637,317 "," Rp60,285,121,000 "
KOLAM AIR TENANG,JAWA BARAT,CIANJUR,LELE,2021,"15,390,000 "," Rp246,240,000,000 "
KOLAM AIR TENANG,JAWA BARAT,CIREBON,LELE,2021,"8,500,213 "," Rp165,677,330,000 "
KOLAM AIR TENANG,JAWA BARAT,GARUT,LELE,2021,"6,167,610 "," Rp123,352,200,000 "
KOLAM AIR TENANG,JAWA BARAT,INDRAMAYU,LELE,2021,"74,258,785 "," Rp1,245,306,285,000 "
KOLAM AIR TENANG,JAWA BARAT,KARAWANG,LELE,2021,"774,500 "," Rp9,294,000,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANDUNG,LELE,2021,"143,956 "," Rp2,447,252,000 "
